filename,requirement,label
Aegyptos_srs_doc.pdf,"The user must have some basic English knowledge as it will be the default language of the mobile
application.",Functional
Aegyptos_srs_doc.pdf,The user can sign-up or log in to access the mobile application.,Functional
Aegyptos_srs_doc.pdf,The admin shall be able to manage the data of the system.,Functional
Aegyptos_srs_doc.pdf,The user could be a resident or a tourist.,Functional
Aegyptos_srs_doc.pdf,"The user will position the camera at the hieroglyphic writing in order to obtain a
picture of what he wants to understand from it.",Functional
Aegyptos_srs_doc.pdf,The user shall be able to upload an image from his/her device for translation.,Functional
Aegyptos_srs_doc.pdf,The admin shall be able to view all users.,Functional
Aegyptos_srs_doc.pdf,The user can slide the phone’s camera on the picture for real-time translation.,Functional
Aegyptos_srs_doc.pdf,The system shall be able to detect the Hieroglyphic symbol’s direction.,Functional
Aegyptos_srs_doc.pdf,The user can be of any age group.,Functional
Aegyptos_srs_doc.pdf,"The user shall be able to access the camera through the application to scan Hieroglyphics
symbols for translation.",Functional
Aegyptos_srs_doc.pdf,The admin should have some basic knowledge of Administrator roles (CRUD operations).,Functional
Aegyptos_srs_doc.pdf,The user shall be able to select the language to be translated into.,Functional
Aegyptos_srs_doc.pdf,The user can access the application whether he has an internet connection or not.,Functional
Aegyptos_srs_doc.pdf,The system shall be able to classify each Hieroglyphic symbol.,Functional
Aegyptos_srs_doc.pdf,The user shall be able to listen to the scanned Ancient Egyptian text.,Functional
Aegyptos_srs_doc.pdf,"The user can view their previously uploaded or scanned image translations and then store
their preferred translations.",Functional
Aegyptos_srs_doc.pdf,The system shall segment hieroglyphic symbols from a scanned image.,Functional
Aegyptos_srs_doc.pdf,"The system shall be able to search data through a matching algorithm
•ID:15 The system shall provide a precise translation in different languages.",Functional
Aegyptos_srs_doc.pdf,"The admin shall be able to create, edit and delete a User account.",Functional
Aegyptos_srs_doc.pdf,The user must have some basic knowledge of how to use a smartphone.,Functional
Aegyptos_srs_doc.pdf,The user shall be able to create an account.,Functional
Aegyptos_srs_doc.pdf,The user shall be able to Login and have access to his/her account.,Functional
Aegyptos_srs_doc.pdf,"4 Usability:
Anyone, starting with teenagers interested in hieroglyphs, can use the application to learn their language
because it has a user-friendly layout",Non-Functional
Aegyptos_srs_doc.pdf,The system,Non-Functional
Aegyptos_srs_doc.pdf,"Scalability is very important when it comes
to deep learning classifiers",Non-Functional
Aegyptos_srs_doc.pdf,"5 EfficientNet
EfficientNet is a Convolutional Neural Network that has multiple versions, signifying scalability, starting
from EfficientNetB0 until EfficientNetB7",Non-Functional
Aegyptos_srs_doc.pdf,4 Usability:,Non-Functional
Aegyptos_srs_doc.pdf,3 Reliability:,Non-Functional
Aegyptos_srs_doc.pdf,2 Performance:,Non-Functional
Aegyptos_srs_doc.pdf,"3 Reliability:
Additionally, applying the squeezeNet algorithm will be faster and more accurate than using any other
technique, with a 92% accuracy rate",Non-Functional
Aegyptos_srs_doc.pdf,1 Security:,Non-Functional
Aegyptos_srs_doc.pdf,"1 Security:
Each user will need a unique email and password to get into the application, and that password will be a
hashed password",Non-Functional
Aegyptos_srs_doc.pdf,"2 Performance:
Moving on to the performance, it won’t take long to translate the hieroglyphs and show them to the user
because they will be translated instantly",Non-Functional
AI01_SRS_DOC.pdf,"The system should contain the following:
• The system is designed to help the patient through visuals on a computer screen to perform
some mental practices.",Functional
AI01_SRS_DOC.pdf,The system shall be able to read brain signals acquired from EEG headset.,Functional
AI01_SRS_DOC.pdf,"The system should provide certain movements for the patient on a computer screen, to help the
patient be able to imagine his desired movement.",Functional
AI01_SRS_DOC.pdf,"The system should
send motor commands to the Robotic arm, that will be able to make the intended movement of the
patient.",Functional
AI01_SRS_DOC.pdf,"The system shall perform some preprocessing techniques on the data acquired from the head-
set.",Functional
AI01_SRS_DOC.pdf,The user must have an internet connection to access the system.,Functional
